Name,Dark1,Light1,Dark2,Light2,Accent1,Accent2,Accent3,Accent4,Accent5,Accent6,Hyperlink,Followed,Category,Favorite,Tags,TimesUsed,LastUsed
Lunar Eclipse,#111111,#F0F0F0,#1D1D1D,#E1E1E1,#585858,#7C7C7C,#A5A5A5,#CFCFCF,#999999,#707070,#4A4A4A,#2F2F2F,Custom,FALSE,,0,
Pastel Meadow,#2C3A27,#F3FFF3,#3F5738,#DFFFDF,#A7E6A7,#C8F5C8,#E2FFE2,#F7FFF7,#82C482,#5EA05E,#3A7A3A,#285828,Custom,FALSE,,0,
Coral Reef,#122B2E,#E0F9F7,#1C4347,#C0F4F0,#FF6F61,#FFA987,#FFD1C4,#FFEDE6,#FF8C75,#E85B50,#CC4A3E,#9B3A30,Custom,FALSE,,0,
Aurora Neon,#040B1A,#E8F3FF,#0A152E,#CFE7FF,#00F0FF,#00C8FF,#2AAEFF,#5FA8FF,#A37BFF,#D966FF,#00A7CC,#007799,Custom,FALSE,,0,
Rustic Autumn,#3A1908,#FFEBDD,#522510,#FFD2BB,#B04900,#CC6A1E,#E09147,#F1B878,#A84300,#8C3500,#732A00,#5A2000,Custom,FALSE,,0,
Mint Sorbet,#12332D,#E3FFF7,#1B4C44,#C8FFF1,#6EE7C7,#8AF5D7,#B3FFEB,#D9FFF6,#44C19A,#2E9F7E,#1F7A63,#145C4B,Custom,FALSE,,0,
Cyber Grid,#0D0D1A,#E6E6FF,#14142B,#D9D9FF,#00FFF0,#00D8E0,#00B0D0,#007FBF,#005F8F,#003F5F,#008080,#00444C,Custom,FALSE,,0,
Caramel Swirl,#3E2C22,#FFF0E0,#5A4134,#FFDFC2,#D98C5F,#E6A67A,#F0C29D,#FBE2CD,#C47347,#A55634,#8A3D23,#6E2A18,Custom,FALSE,,0,
Tropical Punch,#1A1020,#FFE6FF,#2B1533,#FFC9FF,#FF4DA6,#FF75BF,#FFA0D6,#FFC4EA,#FF8ECB,#E35BA4,#A03E78,#702A54,Custom,FALSE,,0,
Slate Storm,#1E1E26,#ECECF2,#2A2A35,#DCDCE6,#6C6C7A,#8A8A99,#A8A8B3,#C7C7D0,#4E4E59,#3A3A44,#2A2A33,#1C1C25,Custom,FALSE,,0,
Arctic Ice,#0A1F28,#E3F8FF,#113544,#C2F0FF,#66D1FF,#99E2FF,#CCF3FF,#E9FCFF,#3BA8D4,#247A99,#155A73,#0D3F52,Custom,FALSE,,0,
Rose Dawn,#2F0E1A,#FFE6F0,#4B1528,#FFCDDF,#FF4F8C,#FF7DAA,#FFA5C3,#FFD0E0,#E6447E,#B83363,#992653,#701B3D,Custom,FALSE,,0,
Royal Marble,#1C1A26,#EFEFF7,#2C283D,#DCDCEC,#6B5BD6,#8C7BEF,#ADA4FF,#CCC8FF,#8574CC,#5748AA,#3D2C7C,#2A1E5A,Custom,FALSE,,0,
Cloudy Sky,#1A1E24,#F1F3F6,#262C33,#DEE2E6,#6B7C8C,#8FA2B5,#B0C2D4,#CDD9E4,#55738A,#39576B,#263B4D,#102439,Custom,FALSE,,0,
Cocoa Mint,#2E1C1A,#FCEFEA,#442723,#F8DED4,#D97A66,#E89A84,#F7B8A4,#FFD6CC,#C26754,#A55646,#8A463B,#70382E,Custom,FALSE,,0,
Sunflare,#271500,#FFF2CC,#3E2200,#FFE099,#F5A623,#FFC15A,#FFD88A,#FFE9B8,#E18C1A,#B56A14,#8A4F0F,#6B3A0A,Nature,TRUE,,0,
Emerald Tide,#00241C,#DAFFF7,#003B2D,#B3FFF0,#00CFA3,#31E6C1,#6FF2D7,#A8FFEB,#00A585,#007F67,#005F4D,#004538,Custom,FALSE,,0,
Velvet Rose,#2A0E13,#FFE6ED,#421520,#FFCADA,#FF5277,#FF7A9B,#FFA4BE,#FFC7D9,#E14464,#B83250,#8A243B,#661A2E,Custom,FALSE,,0,
Sunset Glow,#2E1A0F,#FFEBDD,#4A2A18,#FFD8BB,#F07F4F,#F59B75,#FBC3A8,#FFE2D3,#D6683F,#AC502E,#7F3920,#5A2817,Custom,FALSE,,0,
Iris Bloom,#1C1026,#F4EBFF,#2D193D,#E4D0FF,#7257D6,#9C85FF,#C9B8FF,#E7DFFF,#583CBD,#3B2799,#241966,#180F40,Custom,FALSE,,0,
Carbon Steel,#101010,#F2F2F2,#1B1B1B,#E0E0E0,#5A5A5A,#7A7A7A,#A1A1A1,#C8C8C8,#4A4A4A,#343434,#1F1F1F,#151515,Custom,FALSE,,0,
Electric Lime,#0E2600,#ECFFDA,#154000,#D9FFB3,#7FFF00,#A6FF4D,#C9FF99,#E4FFC9,#66CC00,#4DA300,#397A00,#265200,Custom,FALSE,,0,
Mocha Cream,#2A1D18,#FFF2E8,#3E2C24,#FFE1CC,#C49B7C,#DEB9A0,#F2D4BF,#FFEDE2,#A67F62,#8C6950,#735540,#5C4434,Custom,FALSE,,0,
Iceberry,#150F26,#F3EDFF,#221A3D,#E1D7FF,#A542FF,#C47AFF,#DEB0FF,#F4DEFF,#8430CC,#662599,#4C1C73,#35154F,Custom,FALSE,,0,
Seafood Boil,#2A120C,#FAF5EB,#552319,#F5D778,#C32314,#FFB92D,#914123,#78A51E,#FF7D50,#283C55,#007DD7,#6E87A0,Food,FALSE,,0,
Neon Shadow,#121212,#F0F0F0,#212121,#AAAAAA,#BF00FF,#373737,#555555,#787878,#4B0082,#E099FF,#BF00FF,#8A2BE2,Custom,FALSE,,0,
Red Shadows,#120C0C,#F2E6E6,#2A1E1E,#A58C8C,#D72828,#FF5050,#641414,#FF8282,#410F0F,#FFB4B4,#FF3264,#825A6E,Custom,FALSE,test,0,
Blackberry & Sear,#160C14,#F2EBE6,#301826,#C3AFB9,#911E50,#BE2D2D,#D29B4B,#648246,#69372D,#B47896,#3C8CE6,#826EA0,,FALSE,,0,
Froglegs Buffet,#121C14,#F5F8EB,#2C3426,#C3D0AA,#66A64B,#BE8C2D,#377364,#A8DA3C,#B95A3C,#788C82,#008C96,#6E5064,Food,FALSE,,0,
Whiskey Sour,#1C120C,#F5EEDC,#36261B,#C6B191,#D4872A,#F2C335,#B8232A,#9CB2BD,#6B732E,#A6541F,#FFAE42,#9E763F,,FALSE,,0,
Bahama Mama,#0F2337,#F8F1E3,#1C384B,#D2EFF0,#FF5E3A,#FFB800,#14B4B4,#6ABF4B,#DB3A73,#55B9EB,#0077CC,#8C50A0,,FALSE,,0,
